년도,학기,학과명,과목코드,과목명,분반,주야,이수구분명,교수성명,학점,수강정원,개설여부,강의실명,수강인원,W업시간,성적평가방식구분,영의강의여부,학년,코드쉐어링과목코드,코드쉐어링분반,코드쉐어링되어진과목,코드쉐어링수강여부,비고,개설세부,인정영역구분,인정영역구분명
2013,1,글로벌리더십학부,GEE40097,Marriage and Enrichment,03,주간,교양선택,최미경,3,40,Y,OH 305,55,"W4,W5",일반과목,Y,1,,,,,,,W16,리더십
2013,1,글로벌리더십학부,GEK10000,Elementary Calculus,01,주간,교양필수,박위태,4,40,Y,OH 306,33,"Tu4,Tu5,F4,F5",일반과목,N,1,,,,N,100분수업/경영경제수학 이수한 학생 수강불가,,W13,수학
2013,1,글로벌리더십학부,GEK10000,Elementary Calculus,02,주간,교양필수,이한진,4,20,Y,NTH 213,41,"M3,M4,Th3,Th4",일반과목,Y,1,,,,N,100분수업/1학년우선수강/경영경제수학 이수한 학생 수강불가,,W13,수학
2013,1,글로벌리더십학부,GEK10001,채플(한국어) 1,01,주간,교양필수,김영섭외 4명,0,999,Y, ,802,"W5,W6",P학점과목,N,1,GEK10001,01,D,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEK10002,채플(한국어) 2,01,주간,교양필수,김영섭외 4명,0,999,Y, ,35,"W5,W6",P학점과목,N,1,GEK10001,01,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEK10007,교양독서,01,주간,교양필수,김성옥,1,30,Y,,29,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,02,주간,교양필수,김종록,1,30,Y,,7,,성적만P/F나감,N,1,,,,N,,01,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,03,주간,교양필수,곽태식,1,30,Y,,28,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,04,주간,교양필수,김경미,1,30,Y,,18,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,05,주간,교양필수,김군오,1,30,Y,,30,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,06,주간,교양필수,김윤규,1,30,Y,,28,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,07,주간,교양필수,김헌주,1,30,Y,,22,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,08,주간,교양필수,홍최영,1,30,Y,,28,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,09,주간,교양필수,황철원,1,30,Y,,27,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,10,주간,교양필수,손화철,1,30,Y,,20,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,12,주간,교양필수,조현지,1,30,Y,,14,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,13,주간,교양필수,Jeremy D. Knapp,1,30,Y,,29,,성적만P/F나감,Y,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,14,주간,교양필수,신현길,1,30,Y,,22,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10008,공동체리더십훈련1,01,주간,교양필수,Unconfirmed,1,950,Y,,869,,성적만P/F나감,N,1,GEK10008,01,D,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK10009,공동체리더십훈련2,01,주간,교양필수,Unconfirmed,1,950,Y,,33,,성적만P/F나감,N,1,GEK10008,01,C,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK10011,창조와 진화,01,주간,교양필수,서병선외 7명,2,350,Y,ANH Auditorium,381,"W3,W4",일반과목,N,1,,,,N,,,W08,세계관1
2013,1,글로벌리더십학부,GEK10011,창조와 진화,02,주간,교양필수,곽진환외 7명,2,120,Y,SU 101,207,"W3,W4",일반과목,N,1,,,,N,,,W08,세계관1
2013,1,글로벌리더십학부,GEK10011,창조와 진화,03,주간,교양필수,WilhelmHolzapfel,2,60,Y,NMH 105,73,"W3,W4",일반과목,Y,1,,,,N,,,W08,세계관1
2013,1,글로벌리더십학부,GEK10015,한동인성교육,01,주간,교양필수,유장춘외 5명,1,400,Y,ANH Auditorium,421,W2,성적만P/F나감,N,1,,,,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK10015,한동인성교육,02,주간,교양필수,Cordell Schulten,1,40,Y,OH 421,43,W3,성적만P/F나감,Y,1,,,,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK10016,사회봉사 A,01,주간,교양필수,강병덕,1,304,Y,,299,,성적만P/F나감,N,1,,,,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK10017,Academic Writing,01,주간,교양필수,김종록,3,60,Y,HDH 418B,61,"Tu2,F2",일반과목,N,1,,,,N,인문분반,,W10,인문
2013,1,글로벌리더십학부,GEK10017,Academic Writing,02,주간,교양필수,김종록외 1명,3,60,Y,HDH 418B,18,"Tu3,F3",일반과목,N,1,,,,N,자연분반,,W10,인문
2013,1,글로벌리더십학부,GEK10021,생활체육 1,01,주간,교양선택,배치헌,1,20,Y,NTH 213,20,"Th5,Th6",성적만P/F나감,N,1,,,,N,테니스,,W16,리더십
2013,1,글로벌리더십학부,GEK10021,생활체육 1,02,주간,교양선택,윤영철,1,20,Y,NTH 115,19,"S1,S2",성적만P/F나감,N,1,,,,N,테니스( 9:30-11:10),,W16,리더십
2013,1,글로벌리더십학부,GEK10021,생활체육 1,03,주간,교양선택,지승원,1,30,Y,NTH 115,44,Tu7,성적만P/F나감,N,1,,,,N,태권도,,W16,리더십
2013,1,글로벌리더십학부,GEK10021,생활체육 1,04,주간,교양선택,김구현,1,20,Y,HDH 418B,14,S5,성적만P/F나감,N,1,,,,N,조정,,W16,리더십
2013,1,글로벌리더십학부,GEK10022,수화1,01,주간,교양선택,이지영,2,40,Y,OH 403,71,"M5,Th5",일반과목,N,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEK10022,수화1,02,주간,교양선택,이지영,2,40,Y,OH 403,53,"M6,Th6",일반과목,N,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEK10030,철학개론,01,주간,교양필수,손화철,3,150,Y,OH 405,155,"Tu3,F3",일반과목,Y,1,,,,N,,,W10,인문
2013,1,글로벌리더십학부,GEK10033,한국문학의이해,01,주간,교양필수,김윤규,3,60,Y,HDH 418B,57,"M6,Th6",일반과목,N,1,,,,N,,,W10,인문
2013,1,글로벌리더십학부,GEK10035,한국사(근현대사),01,주간,교양필수,김종건,3,60,Y,HDH 418B,60,"Tu5,F5",일반과목,N,1,,,,N,1학년 30명/2-4학년 30명,,W11,역사
2013,1,글로벌리더십학부,GEK10035,한국사(근현대사),02,주간,교양필수,김종건,3,60,Y,HDH 418B,60,"Tu6,F6",일반과목,N,1,,,,N,1학년 30명/2-4학년 30명,,W11,역사
2013,1,글로벌리더십학부,GEK10035,한국사(근현대사),03,주간,교양필수,유영익,3,60,Y,OH 305,42,"Tu4,Tu5",일반과목,Y,1,,,,N,,,W11,역사
2013,1,글로벌리더십학부,GEK10036,동양사,01,주간,교양필수,김종건,3,60,Y,HDH 418B,42,"Tu8,Tu9",일반과목,N,1,,,,N,,,W11,역사
2013,1,글로벌리더십학부,GEK10037,서양사,01,주간,교양필수,최현미,3,60,Y,OH 305,55,"Tu8,Tu9",일반과목,N,1,,,,N,,,W11,역사
2013,1,글로벌리더십학부,GEK10037,서양사,02,주간,교양필수,최현미,3,60,Y,OH 305,59,"Tu6,Tu7",일반과목,N,1,,,,N,,,W11,역사
2013,1,글로벌리더십학부,GEK10038,물리학실험1,01,주간,교양필수,조현지,1,25,Y,HDH 419,15,"M4,M5",일반과목,N,1,,,,N,14:05-15:45,,W14,자연
2013,1,글로벌리더십학부,GEK10038,물리학실험1,02,주간,교양필수,조현지,1,25,Y,HDH 419,13,"W2,W3",일반과목,N,1,,,,N,10:00-11:40,,W14,자연
2013,1,글로벌리더십학부,GEK10038,물리학실험1,03,주간,교양필수,조현지,1,25,Y,HDH 419,20,"Th4,Th5",일반과목,N,1,,,,N,14:05-15:45,,W14,자연
2013,1,글로벌리더십학부,GEK10038,물리학실험1,04,주간,교양필수,홍경희,1,25,Y,HDH 419,15,"F3,F4",일반과목,N,1,,,,N,11:30-13:10,01,W14,자연
2013,1,글로벌리더십학부,GEK10040,사회학개론,01,주간,교양필수,정태식,3,60,Y,OH 401,50,"M2,M3",일반과목,Y,1,GEK10040,01,D,Y,,,W12,사회
2013,1,글로벌리더십학부,GEK10040,사회학개론,02,주간,교양필수,이향란,3,60,Y,HDH 425B,59,"Tu2,F2",일반과목,N,1,,,,N,,,W12,사회
2013,1,글로벌리더십학부,GEK10041,심리학개론,01,주간,교양선택,이혜주,3,60,Y,OH 403,85,"Tu2,F2",일반과목,Y,1,,,,N,,,W18,전공기초
2013,1,글로벌리더십학부,GEK10041,심리학개론,02,주간,교양선택,문은주,3,50,Y,OH 402,59,"F2,F3",일반과목,N,1,,,,N,,,W18,전공기초
2013,1,글로벌리더십학부,GEK10041,심리학개론,03,주간,교양선택,김소연,3,60,Y,NMH 106,68,"W2,W3",일반과목,N,1,,,,N,,,W18,전공기초
2013,1,글로벌리더십학부,GEK10042,사회복지개론,01,주간,교양선택,강병덕외 3명,3,120,Y,OH 405,123,"M3,Th3",일반과목,N,1,,,,N,,,W18,전공기초
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,01,주간,교양필수,김대옥,2,60,Y,NMH 403,61,"Tu2,F2",일반과목,N,1,,,,N,1학년 우선 수강,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,02,주간,교양필수,김대옥,2,60,Y,NMH 403,60,"Tu3,F3",일반과목,N,1,,,,N,1학년 우선 수강,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,03,주간,교양필수,김완진,2,50,Y, ,52,"Tu2,F2",일반과목,N,1,,,,N,RC분반(Torrey College)/비전관 세미나실,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,04,주간,교양필수,김완진,2,60,Y,OH 421,64,"Tu3,F3",일반과목,N,1,,,,N,1학년 우선 수강,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,05,주간,교양필수,김진승,2,60,Y,OH 405,75,"Tu2,F2",일반과목,N,1,,,,N,1학년 우선 수강,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,06,주간,교양필수,김진승,2,60,Y,OH 401,71,"Tu3,F3",일반과목,N,1,,,,N,RC분반,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,07,주간,교양필수,최지성,2,60,Y,NMH 404,57,"Tu2,F2",일반과목,N,1,,,,N,1학년 우선 수강,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,08,주간,교양필수,최지성,2,60,Y,HDH 425B,59,"Tu3,F3",일반과목,N,1,,,,N,1학년 우선 수강,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,09,주간,교양필수,라원기,2,60,Y,OH 403,64,"Tu4,Tu5",일반과목,N,1,,,,N,1학년 우선 수강/13:00-14:40,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,10,주간,교양필수,라원기,2,60,Y, ,64,"Tu5,Tu6",일반과목,N,1,,,,N,1학년 우선 수강/14:50-16:30,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,11,주간,교양필수,최미경,2,60,Y,NMH 410A,74,"Tu4,Tu5",일반과목,N,1,,,,N,1학년 우선 수강/13:00-14:40,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,12,주간,교양필수,최미경,2,60,Y,NMH 410A,86,"Tu5,Tu6",일반과목,N,1,,,,N,1학년 우선 수강/15:00-16:40,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,13,주간,교양필수,이경원,2,60,Y,NMH 108,34,"Tu3,Tu4",일반과목,N,1,,,,N,1학년 우선 수강/11:30-13:10,,W07,신앙2
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,14,주간,교양필수,Gregory T. Brown,2,60,Y,NMH 404,65,"M5,Th5",일반과목,Y,1,,,,N,1학년 우선 수강,,W07,신앙2
2013,1,글로벌리더십학부,GEK10053,미분방정식과 응용,01,주간,교양필수,이한진,3,40,Y,NTH 313,46,"Tu6,F6",일반과목,Y,1,,,,N,,,W13,수학
2013,1,글로벌리더십학부,GEK10055,물리학 1,01,주간,교양필수,홍경희,3,40,Y,HDH 323C,28,"Tu2,F2",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10055,물리학 1,02,주간,교양필수,조현지,3,30,Y,NMH 207,46,"Tu2,F2",일반과목,N,1,,,,N,고교물리1 미수강자 대상,,W14,자연
2013,1,글로벌리더십학부,GEK10055,물리학 1,03,주간,교양필수,조현지,3,40,Y,NTH 214,42,"Tu3,F3",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10055,물리학 1,04,주간,교양필수,권영건,3,40,Y,NMH 410A,61,"M6,Th6",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10056,물리학 2,01,주간,교양필수,권영건,3,40,Y,NMH 410A,24,"M7,Th7",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10057,일반생물학,01,주간,교양필수,서병선,3,30,Y,NMH 410A,36,"M5,Th5",일반과목,N,1,GEK10057,01,D,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10057,일반생물학,02,주간,교양필수,곽진환외 4명,3,80,Y,NMH 105,89,"M1,Th1",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10057,일반생물학,03,주간,교양필수,WilhelmHolzapfel,3,60,Y,NMH 404,51,"M2,Th2",일반과목,Y,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10058,일반화학,01,주간,교양필수,황철원,3,60,Y,NMH 404,45,"Tu5,F5",일반과목,N,1,GEK10058,01,D,Y,,,W14,자연
2013,1,글로벌리더십학부,GEK10058,일반화학,02,주간,교양필수,이관희,3,60,Y,NMH 403,40,"Tu5,F5",일반과목,Y,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10059,환경과 인간,01,주간,교양필수,황철원,3,60,Y,NMH 410A,59,"Tu2,F2",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10059,환경과 인간,02,주간,교양필수,김주일외 2명,3,50,Y,OH 403,52,"Tu3,F3",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10059,환경과 인간,03,주간,교양필수,김주일외 2명,3,50,Y,NTH 313,56,"M3,Th3",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10059,환경과 인간,04,주간,교양필수,도형기,3,60,Y,NTH 313,77,"M5,Th5",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10060,식품과 건강,01,주간,교양필수,신현길외 2명,3,60,Y,NMH 404,48,"M3,Th3",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10061,음악의 이해,01,주간,교양선택,한지은,3,40,Y,HCA 2층,41,"Tu2,F2",일반과목,N,1,,,,N,,,W17,예술
2013,1,글로벌리더십학부,GEK10061,음악의 이해,02,주간,교양선택,한지은,3,40,Y,HCA 2층,44,"Tu3,F3",일반과목,N,1,,,,N,,,W17,예술
2013,1,글로벌리더십학부,GEK10062,미술의 이해,01,주간,교양선택,김민지,3,80,Y,OH 403,80,"M2,Th2",일반과목,N,1,,,,N,,,W17,예술
2013,1,글로벌리더십학부,GEK10062,미술의 이해,02,주간,교양선택,김민지,3,80,Y,OH 403,58,"M3,Th3",일반과목,N,1,,,,N,,,W17,예술
2013,1,글로벌리더십학부,GEK10066,공간학입문,01,주간,교양선택,구자문외 2명,3,80,Y,NTH 313,42,"Tu2,F2",일반과목,N,1,,,,N,,,W18,전공기초
2013,1,글로벌리더십학부,GEK10070,생활속의 생명과학,01,주간,교양필수,황철원,3,60,Y,NMH 410A,47,"Tu3,F3",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10074,수학과 문명,01,주간,교양필수,이한진,3,40,Y,NTH 115,22,"Tu5,F5",일반과목,Y,1,,,,N,,,W13,수학
2013,1,글로벌리더십학부,GEK10084,이공계리더십,01,주간,교양선택,김정원,2,15,Y,NTH 115,6,"Tu3,Tu4",일반과목,N,1,GEK10084,01,D,N,100분,01,W16,리더십
2013,1,글로벌리더십학부,GEK10094,일반화학실험,01,주간,교양필수,황철원,1,20,Y,NMH 411,21,"W3,W4",성적만P/F나감,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10095,Calculus 1,01,주간,교양필수,박위태,3,40,Y,OH 306,39,"Tu3,F3",일반과목,N,1,,,,N,1학년우선수강,,W13,수학
2013,1,글로벌리더십학부,GEK10095,Calculus 1,02,주간,교양필수,김광익,3,40,Y,HDH 425B,55,"M2,Th2",일반과목,N,1,,,,N,1학년우선수강,,W13,수학
2013,1,글로벌리더십학부,GEK10096,Calculus 2,01,주간,교양필수,김성옥,3,40,Y,HDH 303A,35,"M1,Th1",일반과목,Y,1,,,,N,,,W13,수학
2013,1,글로벌리더십학부,GEK10096,Calculus 2,02,주간,교양필수,김성옥,3,70,Y,ANH 313,72,"M2,Th2",일반과목,N,1,,,,N,,,W13,수학
2013,1,글로벌리더십학부,GEK10096,Calculus 2,03,주간,교양필수,김성옥,3,55,Y,HDH 425B,53,"M3,Th3",일반과목,N,1,,,,N,,,W13,수학
2013,1,글로벌리더십학부,GEK20001,채플(한국어) 3,01,주간,교양필수,김영섭외 4명,0,999,Y, ,748,"W5,W6",P학점과목,N,1,GEK10001,01,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEK20002,채플(한국어) 4,01,주간,교양필수,김영섭외 4명,0,999,Y, ,153,"W5,W6",P학점과목,N,1,GEK10001,01,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEK20008,공동체리더십훈련3,01,주간,교양필수,Unconfirmed,1,950,Y,,769,,성적만P/F나감,N,1,GEK10008,01,C,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK20009,공동체리더십훈련4,01,주간,교양필수,Unconfirmed,1,950,Y,,132,,성적만P/F나감,N,1,GEK10008,01,C,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK20011,기독교 세계관,01,주간,교양필수,곽진환,2,60,Y,NMH 410A,45,"Th3,Th4",일반과목,N,1,,,,N,100분,,W08,세계관1
2013,1,글로벌리더십학부,GEK20011,기독교 세계관,02,주간,교양필수,최용준,2,40,Y,OH 421,40,"M3,M4",일반과목,N,1,,,,N,100분,,W08,세계관1
2013,1,글로벌리더십학부,GEK20011,기독교 세계관,03,주간,교양필수,최용준,2,40,Y,OH 421,12,"Th3,Th4",일반과목,Y,1,,,,N,100분,,W08,세계관1
2013,1,글로벌리더십학부,GEK20014,사회봉사 B,01,주간,교양필수,강병덕,1,189,Y,,185,,성적만P/F나감,N,1,,,,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK20015,사회봉사 C,01,주간,교양필수,강병덕,1,55,Y,,55,,성적만P/F나감,N,1,,,,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK20016,신앙특론,01,주간,교양선택,김형겸,3,60,Y,NMH 403,62,"M5,Th5",일반과목,N,1,,,,N,기독교 변증론,,W09,세계관2
2013,1,글로벌리더십학부,GEK20017,학문과신앙1,01,주간,교양선택,최용준,3,40,Y,OH 420,34,"Tu5,F5",일반과목,N,1,,,,N,,,W09,세계관2
2013,1,글로벌리더십학부,GEK20021,생활체육 2,01,주간,교양선택,배치헌,1,20,Y,NTH 213,18,"Th7,Th8",성적만P/F나감,N,1,,,,N,테니스,,W16,리더십
2013,1,글로벌리더십학부,GEK20021,생활체육 2,02,주간,교양선택,지승원,1,30,Y,NTH 115,30,Th6,성적만P/F나감,N,1,,,,N,태권도,,W16,리더십
2013,1,글로벌리더십학부,GEK20021,생활체육 2,03,주간,교양선택,윤영철,1,20,Y,NTH 115,15,"S3,S4",성적만P/F나감,N,1,,,,N,테니스(11:20-13:00),01,W16,리더십
2013,1,글로벌리더십학부,GEK20022,영화속의 법과 사회,01,주간,교양필수,이강화,3,40,Y,HDH 425B,44,"Tu6,Tu7",일반과목,N,2,,,,N,,,W12,사회
2013,1,글로벌리더십학부,GEK20024,세계문화의 이해,01,주간,교양선택,황철원,0,30,Y,,18,,V학점(PF성적),N,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEK20028,인간관계와자기성장,01,주간,교양선택,이재명,3,60,Y,SU 101,67,"Tu2,Tu3",일반과목,N,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEK20028,인간관계와자기성장,02,주간,교양선택,이재명,3,60,Y,SU 101,82,"Tu5,Tu6",일반과목,N,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEK20028,인간관계와자기성장,03,주간,교양선택,김세준,3,40,Y,NMH 402,24,"Th2,Th3",일반과목,N,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEK20031,독서토론과 글쓰기,01,주간,교양필수,최영이,3,60,Y,NTH 313,51,"Tu3,F3",일반과목,N,1,,,,N,,,W10,인문
2013,1,글로벌리더십학부,GEK20031,독서토론과 글쓰기,02,주간,교양필수,최영이,3,60,Y,OH 402,51,"Tu5,F5",일반과목,N,1,,,,N,,,W10,인문
2013,1,글로벌리더십학부,GEK20042,교육학개론,01,주간,교양필수,변수연,3,40,Y,HDH 303A,42,"Tu2,F2",일반과목,Y,1,,,,N,,,W12,사회
2013,1,글로벌리더십학부,GEK20042,교육학개론,02,주간,교양필수,이은실,3,40,Y,OH 402,38,"M4,M5",일반과목,N,1,,,,N,,,W12,사회
2013,1,글로벌리더십학부,GEK20044,시민생활과 법,01,주간,교양필수,임은호,3,60,Y,HDH 425B,45,"M6,M7",일반과목,N,1,,,,N,"법학부 3,4학년 수강불가",,W12,사회
2013,1,글로벌리더십학부,GEK20045,Christian Foundation 2,01,주간,교양필수,김형겸,2,60,Y,NMH 403,63,"M3,Th3",일반과목,N,1,,,,N,,,W07,신앙2
2013,1,글로벌리더십학부,GEK20051,Mission Perspective,01,주간,교양필수,유기선외 4명,2,60,Y,NMH 410B,26,"Tu5,Tu6",일반과목,N,1,,,,N,14:30-16:10(100분),,W08,세계관1
2013,1,글로벌리더십학부,GEK20051,Mission Perspective,02,주간,교양필수,이경원,2,60,Y,OH 403,36,"W3,W4",일반과목,Y,1,,,,N,,,W08,세계관1
2013,1,글로벌리더십학부,GEK20053,통계학,01,주간,교양필수,김헌주,3,40,Y,HDH 320A,42,"M3,Th3",일반과목,N,1,,,,N,,,W13,수학
2013,1,글로벌리더십학부,GEK30001,채플(한국어) 5,01,주간,교양필수,김영섭외 4명,0,999,Y, ,596,"W5,W6",P학점과목,N,3,GEK10001,01,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEK30002,채플(한국어) 6,01,주간,교양필수,김영섭외 4명,0,999,Y, ,225,"W5,W6",P학점과목,N,3,GEK10001,01,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEK30005,사회봉사 D,01,주간,교양필수,강병덕,1,19,Y,,19,,성적만P/F나감,N,1,,,,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK30008,공동체리더십훈련5,01,주간,교양필수,Unconfirmed,1,950,Y,,631,,성적만P/F나감,N,1,GEK10008,01,C,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK30009,공동체리더십훈련6,01,주간,교양필수,Unconfirmed,1,950,Y,,221,,성적만P/F나감,N,3,GEK10008,01,C,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK30014,기독교와현대사상,01,주간,교양선택,이국운,3,100,Y,OH 405,118,"W2,W3",일반과목,N,1,,,,N,,,W09,세계관2
2013,1,글로벌리더십학부,GEK30014,기독교와현대사상,02,주간,교양선택,최용준,3,80,Y,OH 405,80,"M5,Th5",일반과목,Y,1,,,,N,,,W09,세계관2
